second,proximity to parent,proximity to stranger,fear,freeze
0,1,1,0,
1,1,1,2,
2,1,1,2,0
3,1,1,2,1
4,1,1,2,1
5,1,1,2,1
6,1,1,2,1
7,1,1,2,1
8,1,1,2,1
9,1,1,2,0
10,1,1,2,1
11,1,1,2,1
12,1,1,2,0
13,1,1,2,0
14,1,1,2,0
15,1,1,2,0
16,1,1,2,0
17,1,1,2,1
18,1,1,2,1
19,1,1,2,1
20,1,1,2,1
21,1,1,2,1
22,1,1,2,1
23,1,1,2,0
24,1,1,2,0
25,1,1,2,1
26,1,1,2,0
27,1,1,2,0
28,1,1,2,0
29,1,1,2,1
30,1,1,2,0
31,1,1,2,0
32,1,1,2,1
33,1,1,2,0
34,1,1,2,0
35,1,1,0,
36,1,1,0,
37,1,1,2,
38,1,1,0,
39,1,1,2,
40,1,1,0,
41,1,1,2,
42,1,1,2,0
43,1,1,2,0
44,1,1,0,
45,1,1,2,
46,1,1,0,
47,1,1,2,
48,1,1,0,
49,1,1,2,
50,1,1,2,0
51,1,1,2,0
52,1,1,2,1
53,1,1,2,1
54,1,1,0,
55,1,1,0,
56,1,1,0,
57,1,1,0,
58,1,1,0,
59,1,1,0,
60,1,1,0,
61,1,1,0,
62,1,1,0,
63,1,1,2,
64,1,1,0,
65,1,1,0,
66,1,1,0,
67,1,1,0,
68,1,1,0,
69,1,1,0,
70,1,1,0,
71,1,1,2,
72,1,1,2,0
73,1,1,0,
74,1,1,0,
75,1,1,0,
76,1,1,0,
77,1,1,0,
78,1,1,0,
79,1,1,0,
80,1,1,0,
81,1,1,2,
82,1,1,2,1
83,1,1,2,1
84,1,1,2,1
85,1,1,2,1
86,1,1,2,1
87,1,1,0,
88,1,1,2,
89,1,1,2,0
90,1,1,2,0
91,1,1,0,
92,1,1,2,
93,1,1,2,0
94,1,1,2,0
95,1,1,2,1
96,1,1,2,1
97,1,1,2,1
98,1,1,2,1
99,1,1,2,1
100,1,1,0,
101,0,2,0,
102,1,1,0,
103,1,1,0,
104,,,,
105,,,,
106,1,1,0,
107,1,1,0,
108,1,1,0,
109,1,1,0,
110,1,1,0,
111,1,1,2,
112,1,1,0,
113,1,1,0,
114,1,1,0,
115,1,1,0,
116,1,1,0,
117,1,1,0,
118,1,1,0,
119,1,1,2,
120,1,1,2,0
121,1,1,2,0
122,1,1,0,
123,1,1,0,
124,1,1,0,
125,1,1,0,
126,1,1,0,
127,1,1,0,
128,1,1,0,
129,1,1,0,
130,1,1,0,
131,1,1,0,
132,1,1,0,
133,1,1,0,
134,1,1,0,
135,1,1,0,
136,1,1,0,
137,1,1,0,
138,1,1,0,
139,1,1,0,
140,1,1,0,
141,1,1,0,
142,1,1,2,
143,1,1,2,0
144,1,1,2,0
145,1,1,2,0
146,1,1,0,
147,1,1,0,
148,1,1,0,
149,1,1,0,
150,1,1,0,
151,1,1,0,
152,1,1,0,
153,1,1,0,
154,1,1,0,
155,1,1,0,
156,1,1,0,
157,1,1,2,
158,1,1,2,1
159,1,1,2,1
