second,proximity to parent,proximity to stranger,fear,freeze
0,1,1,0,0
1,1,1,2,1
2,1,1,2,1
3,1,1,2,1
4,1,1,2,1
5,1,1,2,1
6,1,1,2,1
7,1,1,2,0
8,1,1,2,1
9,1,1,2,1
10,1,1,2,0
11,1,1,2,0
12,1,1,2,0
13,1,1,2,0
14,1,1,2,0
15,1,1,2,1
16,1,1,2,1
17,1,1,2,1
18,1,1,2,1
19,1,1,2,1
20,1,1,2,1
21,1,1,2,0
22,1,1,2,0
23,1,1,2,1
24,1,1,2,0
25,1,1,2,0
26,1,1,2,0
27,1,1,2,1
28,1,1,2,0
29,1,1,2,0
30,1,1,2,1
31,1,1,2,0
32,1,1,2,0
33,1,1,2,0
34,1,1,2,False
35,1,1,0,False
36,1,1,0,False
37,1,1,2,False
38,1,1,0,False
39,1,1,2,False
40,1,1,0,0
41,1,1,2,0
42,1,1,2,0
43,1,1,2,False
44,1,1,0,False
45,1,1,2,False
46,1,1,0,False
47,1,1,2,False
48,1,1,0,0
49,1,1,2,0
50,1,1,2,1
51,1,1,2,1
52,1,1,2,1
53,1,1,2,False
54,1,1,0,False
55,1,1,0,False
56,1,1,0,False
57,1,1,0,False
58,1,1,0,False
